post_id,views,retention3s,profile_views,follows,gifts
2026-09-01-hina-1,12400,0.62,310,44,3
2026-09-02-hina-1,3100,0.31,42,5,0
2026-09-04-hina-1,28700,0.71,910,132,11
2026-09-07-hina-1,4200,0.34,58,7,0
2026-09-21-hina-1,5100,0.38,71,9,1
2026-10-05-hina-1,14900,0.60,352,51,4
2026-10-08-hina-1,26300,0.69,844,119,9
2026-09-01-ren-1,8800,0.55,180,21,1
2026-09-02-ren-1,15200,0.66,402,58,4
2026-09-04-ren-1,19400,0.64,455,63,5
2026-09-07-ren-1,6100,0.41,96,12,0
2026-09-16-ren-1,7300,0.47,132,16,1
2026-09-19-ren-1,9800,0.52,201,25,2
2026-09-22-ren-1,5400,0.39,88,10,0
